,Outputs
909,170.70262145996094
910,149.04824829101562
911,453.1199951171875
912,147.9010467529297
913,155.66477966308594
914,120.58210754394531
915,138.296142578125
916,157.8292999267578
917,120.68023681640625
918,160.1027374267578
919,137.86061096191406
920,489.3360595703125
921,120.97993469238281
922,140.18577575683594
923,126.54771423339844
924,229.2067108154297
925,309.4345703125
926,142.2264404296875
927,127.35429382324219
928,179.23934936523438
929,121.20269775390625
930,125.18778991699219
931,159.47311401367188
932,124.59873962402344
933,174.1719512939453
934,125.8955078125
935,329.78192138671875
936,159.76426696777344
937,141.06341552734375
938,121.14732360839844
939,119.71855163574219
940,126.9356689453125
941,133.52281188964844
942,172.37428283691406
943,177.3434295654297
944,137.0678253173828
945,239.12196350097656
946,385.338134765625
947,588.4402465820312
948,175.5176239013672
949,123.84886169433594
950,278.78131103515625
951,124.0933837890625
952,182.2055206298828
953,279.73846435546875
954,120.65252685546875
955,262.7127380371094
956,122.86032104492188
957,125.05531311035156
958,174.47805786132812
959,223.91893005371094
960,145.2617645263672
961,380.8759765625
962,147.88186645507812
963,127.45632934570312
964,121.76564025878906
965,120.313720703125
966,137.5305633544922
967,120.86314392089844
968,163.86688232421875
969,163.86688232421875
970,148.2270050048828
971,148.2270050048828
972,138.54855346679688
973,156.4124298095703
974,126.29312133789062
975,163.23995971679688
976,337.499267578125
977,120.31838989257812
978,297.0775146484375
979,122.65338134765625
980,170.98046875
981,120.05171203613281
982,120.02577209472656
983,156.45050048828125
984,120.60594177246094
985,130.34210205078125
986,120.04441833496094
987,119.64450073242188
988,120.08598327636719
989,141.42208862304688
990,172.8554229736328
991,158.45130920410156
992,148.08045959472656
993,321.5202941894531
994,142.7485809326172
995,153.65780639648438
996,130.4453125
997,125.96873474121094
998,150.445068359375
999,293.75616455078125
1000,147.36756896972656
1001,252.93614196777344
1002,120.65052795410156
1003,331.4038391113281
1004,300.322021484375
1005,144.2093048095703
1006,403.96795654296875
1007,176.2703399658203
1008,196.4098663330078
1009,164.30125427246094
1010,346.7598571777344
1011,289.3800048828125
1012,310.2102355957031
1013,121.63734436035156
1014,143.5355224609375
1015,120.18316650390625
1016,157.22128295898438
1017,129.4689178466797
1018,144.1584014892578
1019,121.59880065917969
1020,125.50790405273438
1021,136.67935180664062
1022,575.9029541015625
1023,323.3121643066406
1024,122.01683044433594
1025,120.80184936523438
1026,151.2454376220703
1027,304.7276916503906
1028,134.7630157470703
1029,120.01051330566406
1030,120.1148681640625
1031,275.9675598144531
1032,142.26795959472656
1033,119.64002990722656
1034,120.55471801757812
1035,144.30738830566406
1036,192.72084045410156
1037,127.12034606933594
1038,269.79571533203125
1039,130.70095825195312
1040,131.24560546875
1041,123.1700439453125
1042,175.5205841064453
1043,154.08897399902344
1044,138.40185546875
1045,199.4266815185547
1046,124.61991882324219
1047,136.30126953125
1048,162.1649932861328
1049,255.27357482910156
1050,159.93988037109375
1051,409.6744689941406
1052,128.4935760498047
1053,119.92202758789062
1054,123.59307861328125
1055,217.66995239257812
1056,143.9678955078125
1057,130.63494873046875
1058,390.73809814453125
1059,120.49702453613281
1060,152.51943969726562
1061,155.8507843017578
1062,122.07322692871094
1063,176.0325164794922
1064,122.15849304199219
1065,148.11387634277344
1066,178.81455993652344
1067,300.9545593261719
1068,120.09320068359375
1069,592.1450805664062
1070,157.45782470703125
1071,145.94325256347656
1072,120.51400756835938
1073,133.88999938964844
1074,120.66407775878906
1075,167.49343872070312
1076,405.8341979980469
1077,168.17726135253906
1078,120.91966247558594
1079,560.0889892578125
1080,122.05873107910156
1081,362.1448059082031
1082,270.4718933105469
1083,430.8805236816406
1084,343.25286865234375
1085,123.63209533691406
1086,182.81143188476562
1087,137.30117797851562
1088,296.29302978515625
